sido,sigungu,name,slug,report_url,report_system,large_waste_method,recycle_guide_url,source_note,source_updated_at,is_active
서울특별시,관악구,서울 관악구,gwanak,https://smartclean.gwanak.go.kr/online/bulky/request,자체,"인터넷(스마트클린 관악) 또는 전화(02-882-5677) 신고 → 결제(카드/가상계좌) 후 배출번호(신고필증) 발급 → 번호 부착·기재 → 일~금 저녁 6시~자정 사이 내 집·점포 앞 배출",,스마트클린 관악(자체 시스템) · 서울특별시 관악구 폐기물 관리 조례 제26조,2026-08-13,true
서울특별시,강남구,서울 강남구,gangnam,https://clean.gangnam.go.kr/use/biwa/USEBIWA02030000.do,자체,"배출 3일 전까지 온라인(휴대폰 인증) 또는 전화(태화용역 1522-3833) 신청 → 결제 → 접수증 출력·부착 → 지정일 배출(월~토 수거)",,강남구 자원순환 종합포털 clean.gangnam.go.kr,2026-08-13,true
서울특별시,노원구,서울 노원구,nowon,https://smartclean.nowon.kr/online/bulky/request,자체,"인터넷/모바일(스마트클린 노원) 신청 → 카드 결제 → 배출필증 인쇄·부착 → 집·건물 앞 배출(월~토 07~16시, 배출일로부터 일주일 이내 수거)",,스마트클린 노원 smartclean.nowon.kr,2026-08-13,true
서울특별시,영등포구,서울 영등포구,yeongdeungpo,https://smartclean.ydp.go.kr/online/bulky/request,자체,"스마트클린 영등포에서 24시간 온라인 신고 → 결제(카드/계좌) → 신고필증 인쇄·부착 → 지정일시 배출 (무단투기 시 과태료)",,스마트클린 영등포 smartclean.ydp.go.kr,2026-08-13,true
서울특별시,송파구,서울 송파구,songpa,https://smartclean.songpa.go.kr/online/bulky/request,자체,"스마트클린 송파 인터넷 신청(또는 대행업체 전화) → 결제 → 필증 인쇄 또는 배출번호 수기작성 → 부착 → 지정일시 배출",,스마트클린 송파 smartclean.songpa.go.kr,2026-08-13,true
서울특별시,강서구,서울 강서구,gangseo,https://www.gangseo.seoul.kr/gs010206,빼기,"온라인 접수는 협력업체 '빼기'로 신청 → 빼기예약번호를 적어 물품에 부착 → 배출일 자정까지 집 앞(아파트는 단지 수집장소) 배출 (예약번호 없으면 미수거)",,강서구청 대형폐기물 안내(gangseo.seoul.kr) · 빼기 일원화 2025.2~,2026-08-13,true
서울특별시,은평구,서울 은평구,eunpyeong,https://smartclean.ep.go.kr/online/bulky/request,자체,"스마트클린 은평 인터넷 신청(또는 전화 1544-5373) → 결제 → 신고필증 인쇄 또는 배출번호 수기작성 → 부착 배출",,스마트클린 은평 smartclean.ep.go.kr,2026-08-13,true
서울특별시,강동구,서울 강동구,gangdong,https://www.gangdong.go.kr/web/newportal/largeWaste/apply/step1,자체,"구청 온라인 신청(largeWaste)·여기로 앱·전화(천일에너지 02-472-1003) 중 택1 → 결제 → 신고필증 부착 → 지정일 배출 (폐가전은 무상수거 1599-0903 우선)",,강동구청 largeWaste 시스템 gangdong.go.kr,2026-08-14,true
서울특별시,성북구,서울 성북구,seongbuk,https://smartclean.sb.go.kr/online/bulky/request,자체,"스마트클린 성북 인터넷 또는 전화(1866-0554) 신청 → 결제 → 배출번호 발급 → 번호 기재해 건물 밖 1층 배출 (스티커 없는 배출번호제, 아파트는 관리실 자체처리)",,스마트클린 성북 smartclean.sb.go.kr,2026-08-14,true
서울특별시,중랑구,서울 중랑구,jungnang,https://www.smartclean-jungnang.kr/online/bulky/request,자체,"스마트클린 중랑 인터넷 신청(본인인증) 또는 동별 전화접수 → 결제(카드/계좌) → 배출증 인쇄·수기 부착 → 집 앞(공동주택 지정장소) 배출",,스마트클린 중랑 smartclean-jungnang.kr,2026-08-14,true
서울특별시,양천구,서울 양천구,yangcheon,https://smartclean.yangcheon.go.kr/online/bulky/request,자체,"스마트클린 양천 인터넷 신청(휴대폰 인증) → 카드 결제 → 배출증 인쇄·수기 부착 → 배출일 전날까지 신고해 지정장소 배출 (폐가전은 무상수거 1599-0903 우선)",,스마트클린 양천 smartclean.yangcheon.go.kr,2026-08-14,true
서울특별시,서대문구,서울 서대문구,seodaemun,https://www.sdm.go.kr/civil/print/waste.do,자체,"서대문구청 온라인 신고(또는 동별 대행업체 전화) → 결제 → 신고필증 출력·부착 → 문 앞 배출, 지정일로부터 5일 이내 수거 (폐가전 원형보존 시 무상수거 1599-0903)",,서대문구청 종합민원 대형폐기물 sdm.go.kr(공공누리 1유형),2026-08-14,true
서울특별시,구로구,서울 구로구,guro,https://www.guro.go.kr/www/infoExhaust.do?key=3440,자체,"구로구청 홈페이지·콜센터(02-2615-3203)·빼기 앱·주민센터 중 신고 → 결제(카드/계좌) → 신고필증·배출번호 기재 → 지정일 배출, 2~3일 내 수거",,구로구청 대형폐기물 처리비용표 guro.go.kr,2026-08-14,true
서울특별시,마포구,서울 마포구,mapo,https://smartclean.mapo.go.kr/online/bulky/request,자체,"스마트클린 마포 온라인 신청 또는 동주민센터 방문 → 결제 → 신고필증 부착 → 지정 배출일 익일 09~15시 수거 (폐가전은 무상수거 1599-0903)",,스마트클린 마포 smartclean.mapo.go.kr,2026-08-14,true
서울특별시,동작구,서울 동작구,dongjak,https://smartclean.dongjak.go.kr/online/bulky/request,자체,"스마트클린 동작 온라인 신청(본인인증) → 결제 → 배출번호 기재/신고필증 부착 → 배출일 전날 지정 외부장소 배출 (사유지 내 수거 불가)",,스마트클린 동작 smartclean.dongjak.go.kr,2026-08-14,true
서울특별시,광진구,서울 광진구,gwangjin,https://www.smartclean-gwangjin.kr/online/bulky/request,자체,"스마트클린 광진 온라인 신청 → 결제 → 신고필증 부착(또는 접수번호 수기) → 문 앞 배출, 다음날부터 1~3일 수거 (직접 집하장 운반 시 수수료 면제, 사전예약)",,스마트클린 광진 smartclean-gwangjin.kr,2026-08-14,true
서울특별시,동대문구,서울 동대문구,dongdaemun,https://www.yeogiro24.co.kr/,여기로,"여기로 앱/웹 또는 전화(1599-0903)로 신고 → 결제 → 배출번호 기재 또는 스티커 부착 → 지정일 집 앞 배출",,여기로 위탁 · 동대문구 폐기물 관리 조례 별표1,2026-08-14,true
서울특별시,서초구,서울 서초구,seocho,https://www.seocho.go.kr/site/seocho/ex/bigWaste/BigWasteUserFStart.do,자체,"서초구청 온라인 신청(또는 빼기 앱·권역 대행업체 전화) → 결제 → 필증 부착 → 지정일 배출 (폐가전은 무상수거 1599-0903)",,서초구 폐기물관리 조례 별표1 부과기준표 · seocho.go.kr,2026-08-18,true
서울특별시,강북구,서울 강북구,gangbuk,https://www.gangbuk.go.kr/portal/lifeWaste/userWasteAplct/forInsert.do?menuNo=200292,자체,"강북구청 홈페이지 신청(또는 전화 02-901-6786·빼기 앱) → 결제 → 신고필증 부착 → 신청 후 7일 이내 수거 (폐가전은 무상수거 1599-0903)",,공공데이터포털 강북구 대형폐기물 품목별 부과기준(data.go.kr/15055382),2026-08-18,true
서울특별시,성동구,서울 성동구,seongdong,https://www.sd.go.kr/main/sub.do?key=4180,자체,"성동구청 홈페이지·여기로·지구하다·전화(천일에너지 02-2248-1001) 중 신청 → 결제 → 납부필증 부착 → 건물 밖 배출 (폐가전은 무상수거 1599-0903)",,성동구청 대형폐기물 안내(sd.go.kr) · 조례 별표,2026-08-18,true
서울특별시,도봉구,서울 도봉구,dobong,https://smartclean.dobong.go.kr/online/bulky/request,자체,"스마트클린 도봉 인터넷 신청(또는 동주민센터 방문) → 결제 → 필증 인쇄·부착 → 지정일시 배출 (대형폐가전은 무상수거 1599-0903)",,스마트클린 도봉 smartclean.dobong.go.kr,2026-08-18,true
